Time -                  518 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  520 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  522 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  524 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  526 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  528 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  530 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  532 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  534 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  536 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  538 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  540 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  542 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  544 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  546 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  548 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  550 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  552 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  554 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  556 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  558 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  560 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  562 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  564 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  566 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  568 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  570 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  4
Time -                  572 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  4
Time -                  574 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -0 |tb_count -  4
Time -                  576 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -0 |tb_count -  4
Time -                  578 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  5
Time -                  580 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  5
Time -                  582 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  5
Time -                  584 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  5
Time -                  586 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  5
Time -                  588 | tb_arst - 0 | tb_clk - 0 | tb_seq_i -1 |tb_count -  5
Time -                  590 | tb_arst - 0 | tb_clk - 1 | tb_seq_i -1 |tb_count -  5
